Country,Iso3,Who region,Month Start,Month Lab,Cases,Deaths
Belgium,BEL,EURO,01/08/2024,Aug-24,3,0
Belgium,BEL,EURO,01/09/2024,Sep-24,8,0
Belgium,BEL,EURO,01/10/2024,Oct-24,17,0
Benin,BEN,AFRO,01/11/2023,Nov-23,0,0
Benin,BEN,AFRO,01/12/2023,Dec-23,0,0
Benin,BEN,AFRO,01/01/2024,Jan-24,0,0
Benin,BEN,AFRO,01/02/2024,Feb-24,0,0
Benin,BEN,AFRO,01/03/2024,Mar-24,0,0
Benin,BEN,AFRO,01/04/2024,Apr-24,0,0
Benin,BEN,AFRO,01/05/2024,May-24,0,0
Benin,BEN,AFRO,01/06/2024,Jun-24,0,0
Benin,BEN,AFRO,01/07/2024,Jul-24,0,0
Benin,BEN,AFRO,01/08/2024,Aug-24,0,0
Benin,BEN,AFRO,01/09/2024,Sep-24,0,0
Benin,BEN,AFRO,01/10/2024,Oct-24,0,0
Bermuda,BMU,AMRO,01/11/2023,Nov-23,0,0
Bermuda,BMU,AMRO,01/12/2023,Dec-23,0,0
Bermuda,BMU,AMRO,01/01/2024,Jan-24,0,0
Bermuda,BMU,AMRO,01/02/2024,Feb-24,0,0
Bermuda,BMU,AMRO,01/03/2024,Mar-24,0,0
Bermuda,BMU,AMRO,01/04/2024,Apr-24,0,0
Bermuda,BMU,AMRO,01/05/2024,May-24,0,0
Bermuda,BMU,AMRO,01/06/2024,Jun-24,0,0
Bermuda,BMU,AMRO,01/07/2024,Jul-24,0,0
Bermuda,BMU,AMRO,01/08/2024,Aug-24,0,0
Bermuda,BMU,AMRO,01/09/2024,Sep-24,0,0
Bermuda,BMU,AMRO,01/10/2024,Oct-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01/11/2023,Nov-23,0,0
Bolivia (Plurinational State of),BOL,AMRO,01/12/2023,Dec-23,0,0
Bolivia (Plurinational State of),BOL,AMRO,01/01/2024,Jan-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01/02/2024,Feb-24,1,0
Bolivia (Plurinational State of),BOL,AMRO,01/03/2024,Mar-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01/04/2024,Apr-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01/05/2024,May-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01/06/2024,Jun-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01/07/2024,Jul-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01/08/2024,Aug-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01/09/2024,Sep-24,0,0
Bolivia (Plurinational State of),BOL,AMRO,01/10/2024,Oct-24,0,0
Bosnia and Herzegovina,BIH,EURO,01/11/2023,Nov-23,0,0
Bosnia and Herzegovina,BIH,EURO,01/12/2023,Dec-23,0,0
Bosnia and Herzegovina,BIH,EURO,01/01/2024,Jan-24,0,0
Bosnia and Herzegovina,BIH,EURO,01/02/2024,Feb-24,0,0
Bosnia and Herzegovina,BIH,EURO,01/03/2024,Mar-24,0,0
Bosnia and Herzegovina,BIH,EURO,01/04/2024,Apr-24,0,0
Bosnia and Herzegovina,BIH,EURO,01/05/2024,May-24,0,0
Bosnia and Herzegovina,BIH,EURO,01/06/2024,Jun-24,0,0
Bosnia and Herzegovina,BIH,EURO,01/07/2024,Jul-24,0,0
Bosnia and Herzegovina,BIH,EURO,01/08/2024,Aug-24,0,0
Bosnia and Herzegovina,BIH,EURO,01/09/2024,Sep-24,0,0
Bosnia and Herzegovina,BIH,EURO,01/10/2024,Oct-24,0,0
Brazil,BRA,AMRO,01/11/2023,Nov-23,97,0
Brazil,BRA,AMRO,01/12/2023,Dec-23,108,0
Brazil,BRA,AMRO,01/01/2024,Jan-24,196,0
Brazil,BRA,AMRO,01/02/2024,Feb-24,127,0
Brazil,BRA,AMRO,01/03/2024,Mar-24,86,0
Brazil,BRA,AMRO,01/04/2024,Apr-24,91,0
Brazil,BRA,AMRO,01/05/2024,May-24,57,0
Brazil,BRA,AMRO,01/06/2024,Jun-24,42,0
Brazil,BRA,AMRO,01/07/2024,Jul-24,129,0
Brazil,BRA,AMRO,01/08/2024,Aug-24,288,0
Brazil,BRA,AMRO,01/09/2024,Sep-24,267,0
Brazil,BRA,AMRO,01/10/2024,Oct-24,207,0
Bulgaria,BGR,EURO,01/11/2023,Nov-23,0,0
Bulgaria,BGR,EURO,01/12/2023,Dec-23,0,0
Bulgaria,BGR,EURO,01/01/2024,Jan-24,0,0
Bulgaria,BGR,EURO,01/02/2024,Feb-24,0,0
Bulgaria,BGR,EURO,01/03/2024,Mar-24,0,0
Bulgaria,BGR,EURO,01/04/2024,Apr-24,0,0
Bulgaria,BGR,EURO,01/05/2024,May-24,1,0
Bulgaria,BGR,EURO,01/06/2024,Jun-24,0,0
Bulgaria,BGR,EURO,01/07/2024,Jul-24,0,0
Bulgaria,BGR,EURO,01/08/2024,Aug-24,0,0
Bulgaria,BGR,EURO,01/09/2024,Sep-24,0,0
Bulgaria,BGR,EURO,01/10/2024,Oct-24,0,0
Burundi,BDI,AFRO,01/07/2024,Jul-24,9,0
Burundi,BDI,AFRO,01/08/2024,Aug-24,222,0
Burundi,BDI,AFRO,01/09/2024,Sep-24,622,0
Burundi,BDI,AFRO,01/10/2024,Oct-24,656,0
Cambodia,KHM,WPRO,01/12/2023,Dec-23,1,0
Cambodia,KHM,WPRO,01/01/2024,Jan-24,2,0
Cambodia,KHM,WPRO,01/02/2024,Feb-24,10,0
Cameroon,CMR,AFRO,01/11/2023,Nov-23,0,0
Cameroon,CMR,AFRO,01/12/2023,Dec-23,0,0
Cameroon,CMR,AFRO,01/01/2024,Jan-24,2,1
Cameroon,CMR,AFRO,01/02/2024,Feb-24,0,0
